tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
EXIDEIND,NSE,EXIDE INDUSTRIES,173057,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
CHOLAFIN,NSE,CHOLAMANDALAM IN & FIN CO,175361,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
CIPLA,NSE,CIPLA,177665,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
COROMANDEL,NSE,COROMANDEL INTERNTL.,189185,NSE,0.1,1,STOCK,Chemicals,Chemicals,0,1
CRISIL,NSE,CRISIL,193793,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
CGPOWER,NSE,CG POWER AND IND SOL,194561,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,1,1
DABUR,NSE,DABUR INDIA,197633,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
DCMSHRIRAM,NSE,DCM SHRIRAM,207617,NSE,0.1,1,STOCK,Diversified,Diversified,0,1
DEEPAKFERT,NSE,DEEPAK FERTILIZERS & PETR,211713,NSE,0.1,1,STOCK,Chemicals,Chemicals,0,1
DRREDDY,NSE,DR. REDDY S LABORATORIES,225537,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
EICHERMOT,NSE,EICHER MOTORS,232961,NSE,0.5,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
EIDPARRY,NSE,EID PARRY INDIA,234497,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
EIHOTEL,NSE,EIH - OBEROI HOTELS,235265,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,0,1
ELGIEQUIP,NSE,ELGI EQUIPMENTS,239873,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
ESCORTS,NSE,ESCORTS KUBOTA,245249,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
FACT,NSE,FACT,258049,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
SCHAEFFLER,NSE,SCHAEFFLER INDIA,258817,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
FEDERALBNK,NSE,FEDERAL BANK,261889,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
FINCABLES,NSE,FINOLEX CABLES,265729,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
ZENSARTECH,NSE,ZENSAR TECHNOLOGIES,275457,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
GABRIEL,NSE,GABRIEL INDIA,277761,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
GLAXO,NSE,GLAXOSMITHKLINE PHARMA LT,295169,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
NEWGEN,NSE,NEWGEN SOFTWARE TECH,297985,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
GODFRYPHLP,NSE,GODFREY PHILLIPS INDIA LT,302337,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
AMBER,NSE,AMBER ENTERPRISES (I),303361,NSE,0.5,1,STOCK,Consumer Durables,Consumer Durables,1,1
GLAND,NSE,GLAND PHARMA,303617,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
GRASIM,NSE,GRASIM INDUSTRIES,315393,NSE,0.1,1,STOCK,Construction Materials,Construction Materials,1,1
CASTROLIND,NSE,CASTROL INDIA,320001,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
AMBUJACEM,NSE,AMBUJA CEMENTS,325121,NSE,0.05,1,STOCK,Construction Materials,Construction Materials,1,1
HDFCBANK,NSE,HDFC BANK,341249,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
HEG,NSE,HEG,342017,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
HEROMOTOCO,NSE,HERO MOTOCORP,345089,NSE,0.5,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
HINDALCO,NSE,HINDALCO  INDUSTRIES,348929,NSE,0.1,1,STOCK,Metals & Mining,Metals & Mining,1,1
HINDUNILVR,NSE,HINDUSTAN UNILEVER,356865,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
HINDPETRO,NSE,HINDUSTAN PETROLEUM CORP,359937,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
HINDZINC,NSE,HINDUSTAN ZINC,364545,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,1,1
JSWDULUX,NSE,JSW DULUX,375553,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,0,1
IDBI,NSE,IDBI BANK,377857,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
IFCI,NSE,IFCI,381697,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
ASTERDM,NSE,ASTER DM HEALTHCARE,386049,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
INDHOTEL,NSE,THE INDIAN HOTELS CO.,387073,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,1,1
INDIACEM,NSE,THE INDIA CEMENTS,387841,NSE,0.05,1,STOCK,Construction Materials,Construction Materials,0,1
GILLETTE,NSE,GILLETTE INDIA,403457,NSE,0.5,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
INFY,NSE,INFOSYS,408065,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
TATAINVEST,NSE,TATA INVESTMENT CORP,414977,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
IOC,NSE,INDIAN OIL CORP,415745,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
LINDEINDIA,NSE,LINDE INDIA,416513,NSE,0.5,1,STOCK,Chemicals,Chemicals,0,1
IPCALAB,NSE,IPCA LABORATORIES,418049,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
ITC,NSE,ITC,424961,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
ITI,NSE,ITI,428801,NSE,0.05,1,STOCK,Telecommunication,Telecommunication,0,1
JBCHEPHARM,NSE,J B CHEMICALS AND PHARMA,441857,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
KAJARIACER,NSE,KAJARIA CERAMICS,462849,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,0,1
KPIL,NSE,KALPATARU PROJECT INT,464385,NSE,0.1,1,STOCK,Construction,Construction,0,1
KARURVYSYA,NSE,KARUR VYSYA BANK,470529,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
CUMMINSIND,NSE,CUMMINS INDIA,486657,NSE,0.5,1,STOCK,Capital Goods,Capital Goods,1,1
KOTAKBANK,NSE,KOTAK MAHINDRA BANK,492033,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
TRENT,NSE,TRENT,502785,NSE,0.1,1,STOCK,Consumer Services,Consumer Services,1,1
LICHSGFIN,NSE,LIC HOUSING FINANCE,511233,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
IRFC,NSE,INDIAN RAILWAY FIN CORP L,519425,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
M&M,NSE,MAHINDRA & MAHINDRA,519937,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
RAMCOCEM,NSE,THE RAMCO CEMENTS,523009,NSE,0.05,1,STOCK,Construction Materials,Construction Materials,0,1
CHENNPETRO,NSE,CHENNAI PETROLEUM CORP LT,524545,NSE,0.1,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
HOMEFIRST,NSE,HOME FIRST FIN CO IND,526337,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
VTL,NSE,VARDHMAN TEXTILES,530689,NSE,0.05,1,STOCK,Textiles,Textiles,0,1
MFSL,NSE,MAX FINANCIAL SERV,548353,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
BDL,NSE,BHARAT DYNAMICS,548865,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
BOSCHLTD,NSE,BOSCH,558337,NSE,5.0,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
BANDHANBNK,NSE,BANDHAN BANK,579329,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
MRF,NSE,MRF,582913,NSE,5.0,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
MRPL,NSE,MRPL,584449,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
HAL,NSE,HINDUSTAN AERONAUTICS,589569,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
NCC,NSE,NCC,593665,NSE,0.01,1,STOCK,Construction,Construction,0,1
NEULANDLAB,NSE,NEULAND LAB,615937,NSE,1.0,1,STOCK,Healthcare,Healthcare,0,1
RAILTEL,NSE,RAILTEL CORP OF IND,622337,NSE,0.05,1,STOCK,Telecommunication,Telecommunication,0,1
ONGC,NSE,OIL AND NATURAL GAS CORP.,633601,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
LEMONTREE,NSE,LEMON TREE HOTELS,667137,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,0,1
PFIZER,NSE,PFIZER,676609,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
PCBL,NSE,PCBL CHEMICAL,678145,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
PIDILITIND,NSE,PIDILITE INDUSTRIES,681985,NSE,0.1,1,STOCK,Chemicals,Chemicals,1,1
JUBLINGREA,NSE,JUBILANT INGREVIA,712449,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
ANURAS,NSE,ANUPAM RASAYAN INDIA,724225,NSE,0.1,1,STOCK,Chemicals,Chemicals,0,1
CRAFTSMAN,NSE,CRAFTSMAN AUTOMATION,730625,NSE,0.5,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
RELIANCE,NSE,RELIANCE INDUSTRIES,738561,NSE,0.1,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
KALYANKJIL,NSE,KALYAN JEWELLERS IND,756481,NSE,0.05,1,STOCK,Consumer Durables,Consumer Durables,1,1
SAIL,NSE,STEEL AUTHORITY OF INDIA,758529,NSE,0.01,1,STOCK,Metals & Mining,Metals & Mining,1,1
JINDALSAW,NSE,JINDAL SAW,774145,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,0,1
SBIN,NSE,STATE BANK OF INDIA,779521,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SCI,NSE,SHIPPING CORP OF INDIA LT,780289,NSE,0.05,1,STOCK,Services,Services,0,1
VEDL,NSE,VEDANTA,784129,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,1,1
SHREECEM,NSE,SHREE CEMENT,794369,NSE,5.0,1,STOCK,Construction Materials,Construction Materials,1,1
SIEMENS,NSE,SIEMENS,806401,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
LODHA,NSE,LODHA DEVELOPERS,824321,NSE,0.05,1,STOCK,Realty,Realty,1,1
SRF,NSE,SRF,837889,NSE,0.1,1,STOCK,Chemicals,Chemicals,1,1
SUNDARMFIN,NSE,SUNDARAM FINANCE,854785,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
SUNPHARMA,NSE,SUN PHARMACEUTICAL IND L,857857,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
SUPREMEIND,NSE,SUPREME INDUSTRIES,860929,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
TATACHEM,NSE,TATA CHEMICALS,871681,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
TATAELXSI,NSE,TATA ELXSI,873217,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
HONAUT,NSE,HONEYWELL AUTOMATION IND,874753,NSE,5.0,1,STOCK,Capital Goods,Capital Goods,0,1
TATAPOWER,NSE,TATA POWER CO,877057,NSE,0.05,1,STOCK,Power,Power,1,1
TATACONSUM,NSE,TATA CONSUMER PRODUCT,878593,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
TMPV,NSE,TATA MOTORS PASS VEH,884737,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
THERMAX,NSE,THERMAX,889601,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
TATASTEEL,NSE,TATA STEEL,895745,NSE,0.01,1,STOCK,Metals & Mining,Metals & Mining,1,1
TITAN,NSE,TITAN COMPANY,897537,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TORNTPHARM,NSE,TORRENT PHARMACEUTICALS L,900609,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
ADANIGREEN,NSE,ADANI GREEN ENERGY,912129,NSE,0.1,1,STOCK,Power,Power,1,1
JUBLPHARMA,NSE,JUBILANT PHARMOVA,931073,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
VOLTAS,NSE,VOLTAS,951809,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TATACOMM,NSE,TATA COMMUNICATIONS,952577,NSE,0.1,1,STOCK,Telecommunication,Telecommunication,0,1
RITES,NSE,RITES,962817,NSE,0.01,1,STOCK,Construction,Construction,0,1
WIPRO,NSE,WIPRO,969473,NSE,0.01,1,STOCK,Information Technology,Information Technology,1,1
ZEEL,NSE,ZEE ENTERTAINMENT ENT,975873,NSE,0.01,1,STOCK,Media Entertainment & Publication,Media Entertainment & Publication,0,1
CAPLIPOINT,NSE,CAPLIN POINT LAB,999937,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
NATCOPHARM,NSE,NATCO PHARMA,1003009,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
NAVA,NSE,NAVA,1027585,NSE,0.05,1,STOCK,Power,Power,0,1
MARICO,NSE,MARICO,1041153,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1,1
MOTHERSON,NSE,SAMVRDHNA MTHRSN INTL,1076225,NSE,0.01,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
HDFCAMC,NSE,HDFC AMC,1086465,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SHRIRAMFIN,NSE,SHRIRAM FINANCE,1102337,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
CREDITACC,NSE,CREDITACCESS GRAMEEN,1131777,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
MPHASIS,NSE,MPHASIS,1152769,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
BANKBARODA,NSE,BANK OF BARODA,1195009,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
SONACOMS,NSE,SONA BLW PRECISION FRGS L,1199105,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
SHYAMMETL,NSE,SHYAM METALICS AND ENGY L,1201409,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
GAIL,NSE,GAIL (INDIA),1207553,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
BANKINDIA,NSE,BANK OF INDIA,1214721,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
CONCOR,NSE,CONTAINER CORP OF IND,1215745,NSE,0.05,1,STOCK,Services,Services,1,1
KIMS,NSE,KRISHNA INST OF MED SCI L,1240833,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
SAREGAMA,NSE,SAREGAMA INDIA,1252353,NSE,0.05,1,STOCK,Media Entertainment & Publication,Media Entertainment & Publication,0,1
ENGINERSIN,NSE,ENGINEERS INDIA,1256193,NSE,0.05,1,STOCK,Construction,Construction,0,1
ICICIBANK,NSE,ICICI BANK,1270529,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
IRCON,NSE,IRCON INTERNATIONAL,1276417,NSE,0.01,1,STOCK,Construction,Construction,0,1
CLEAN,NSE,CLEAN SCIENCE & TECH,1292545,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
ETERNAL,NSE,ETERNAL - ZOMATO,1304833,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,1,1
GMDCLTD,NSE,GUJARAT MINERAL DEV CORP,1332225,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,0,1
INDUSINDBK,NSE,INDUSIND BANK,1346049,NSE,0.05,1,STOCK,Financial Services,Financial Services,1,1
DEVYANI,NSE,DEVYANI INTERNATIONAL,1375489,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,0,1
ASAHIINDIA,NSE,ASAHI INDIA GLASS,1376769,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
AAVAS,NSE,AAVAS FINANCIERS,1378561,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
CARTRADE,NSE,CARTRADE TECH,1384193,NSE,0.1,1,STOCK,Consumer Services,Consumer Services,0,1
NUVOCO,NSE,NUVOCO VISTAS CORP,1389057,NSE,0.05,1,STOCK,Construction Materials,Construction Materials,0,1
APTUS,NSE,APTUS VALUE HSG FIN I,1391361,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
GRSE,NSE,GARDEN REACH SHIP&ENG,1401601,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
ACUTAAS,NSE,ACUTAAS CHEMICALS,1427969,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
VIJAYA,NSE,VIJAYA DIAGNOSTIC CEN,1429761,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
CEMPRO,NSE,CEMINDIA PROJECTS,1439233,NSE,0.05,1,STOCK,Construction,Construction,0,1
J&KBANK,NSE,J & K BANK,1442049,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
CUB,NSE,CITY UNION BANK,1459457,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
CYIENT,NSE,CYIENT,1471489,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
AXISBANK,NSE,AXIS BANK,1510401,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
INTELLECT,NSE,INTELLECT DESIGN ARENA,1517057,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
ABSLAMC,NSE,ADIT BIRL SUN LIF AMC,1540609,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
ATGL,NSE,ADANI TOTAL GAS,1552897,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
NATIONALUM,NSE,NATIONAL ALUMINIUM CO,1629185,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,1,1
TECHNOE,NSE,TECHNO ELEC & ENG CO.,1649921,NSE,0.1,1,STOCK,Construction,Construction,0,1
NYKAA,NSE,FSN E COMMERCE VENTURES,1675521,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,1,1
SONATSOFTW,NSE,SONATA SOFTWARE,1688577,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
POLICYBZR,NSE,PB FINTECH,1703937,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
PAYTM,NSE,ONE 97 COMMUNICATIONS,1716481,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SAPPHIRE,NSE,SAPPHIRE FOODS INDIA,1719809,NSE,0.01,1,STOCK,Consumer Services,Consumer Services,0,1
JINDALSTEL,NSE,JINDAL STEEL,1723649,NSE,0.1,1,STOCK,Metals & Mining,Metals & Mining,1,1
LATENTVIEW,NSE,LATENT VIEW ANALYTICS,1745409,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
BSOFT,NSE,BIRLASOFT,1790465,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
STARHEALTH,NSE,STAR HEALTH & AL INS CO L,1813249,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
TEGA,NSE,TEGA INDUSTRIES,1818881,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
ANANDRATHI,NSE,ANAND RATHI WEALTH,1829121,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
MAPMYINDIA,NSE,C.E. INFO SYSTEMS,1850113,NSE,0.05,1,STOCK,Information Technology,Information Technology,0,1
HCLTECH,NSE,HCL TECHNOLOGIES,1850625,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
DATAPATTNS,NSE,DATA PATTERNS INDIA,1883649,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
GLENMARK,NSE,GLENMARK PHARMACEUTICALS,1895937,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
WOCKPHARMA,NSE,WOCKHARDT,1921537,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
ZENTEC,NSE,ZEN TECHNOLOGIES,1922049,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
INOXWIND,NSE,INOX WIND,2010113,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,1,1
ZYDUSLIFE,NSE,ZYDUS LIFESCIENCES,2029825,NSE,0.05,1,STOCK,Healthcare,Healthcare,1,1
DALBHARAT,NSE,DALMIA BHARAT,2067201,NSE,0.1,1,STOCK,Construction Materials,Construction Materials,1,1
AWL,NSE,AWL AGRI BUSINESS,2076161,NSE,0.01,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
AJANTPHARM,NSE,AJANTA PHARMA,2079745,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
BLUESTARCO,NSE,BLUE STAR,2127617,NSE,0.1,1,STOCK,Consumer Durables,Consumer Durables,1,1
TVSMOTOR,NSE,TVS MOTOR COMPANY,2170625,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
CHALET,NSE,CHALET HOTELS,2187777,NSE,0.05,1,STOCK,Consumer Services,Consumer Services,0,1
NLCINDIA,NSE,NLC INDIA,2197761,NSE,0.05,1,STOCK,Power,Power,0,1
MSUMI,NSE,MOTHERSON SUMI WRNG IND L,2200577,NSE,0.01,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
USHAMART,NSE,USHA MARTIN,2263041,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
CHOICEIN,NSE,CHOICE INTERNATIONAL,2269697,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
